user_text,Geography.Geographical,Geography.Regions.Africa.Africa*,Geography.Regions.Africa.Central_Africa,Geography.Regions.Africa.Eastern_Africa,Geography.Regions.Africa.Northern_Africa,Geography.Regions.Africa.Southern_Africa,Geography.Regions.Africa.Western_Africa,Geography.Regions.Americas.Central_America,Geography.Regions.Americas.North_America,Geography.Regions.Americas.South_America,Geography.Regions.Asia.Asia*,Geography.Regions.Asia.Central_Asia,Geography.Regions.Asia.East_Asia,Geography.Regions.Asia.North_Asia,Geography.Regions.Asia.South_Asia,Geography.Regions.Asia.Southeast_Asia,Geography.Regions.Asia.West_Asia,Geography.Regions.Europe.Eastern_Europe,Geography.Regions.Europe.Europe*,Geography.Regions.Europe.Northern_Europe,Geography.Regions.Europe.Southern_Europe,Geography.Regions.Europe.Western_Europe,Geography.Regions.Oceania,total,top_label
SeroBOT,118,251,0,4,89,2,0,458,1505,2912,414,8,212,69,35,17,266,198,1202,271,1801,437,68,10337,Geography.Regions.Americas.South_America
Mr.Ibrahembot,173,871,0,0,827,0,0,28,399,119,1293,7,82,26,133,21,2375,138,392,112,115,174,10,7295,Geography.Regions.Asia.West_Asia
Alex NB OT,94,182,0,0,9,0,2,41,270,78,1154,26,117,1096,30,16,239,1142,1335,112,95,307,70,6415,Geography.Regions.Europe.Europe*
Citation bot,37,238,0,0,6,0,0,78,1588,71,676,0,195,21,443,75,222,157,448,132,96,158,87,4728,Geography.Regions.Americas.North_America
InternetArchiveBot,52,184,0,0,31,1,0,58,497,127,494,5,73,223,75,25,252,269,719,409,237,492,51,4274,Geography.Regions.Europe.Europe*
EyeBot,53,47,0,0,5,0,1,30,157,26,783,19,46,690,17,16,131,780,721,58,36,198,27,3841,Geography.Regions.Asia.Asia*
Maxeto0910,4,146,0,0,0,0,0,48,1273,24,122,0,103,4,84,33,44,74,668,540,207,219,83,3676,Geography.Regions.Americas.North_America
Luicheto,2,54,0,0,4,0,0,77,2719,144,24,10,2,1,1,36,4,2,400,8,10,22,21,3541,Geography.Regions.Americas.North_America
Achmad Rachmani,0,15,0,0,0,0,0,0,35,0,986,0,0,0,353,7,2022,86,5,1,0,9,0,3519,Geography.Regions.Asia.West_Asia
Tomacini,0,0,0,0,0,0,0,0,0,3443,0,0,0,0,0,0,0,0,0,0,0,0,0,3443,Geography.Regions.Americas.South_America
Eniisi Lisika,83,226,0,0,7,0,0,15,93,63,1063,30,11,213,26,26,21,223,539,201,87,126,64,3117,Geography.Regions.Asia.Asia*
CommonsDelinker,26,111,0,0,49,1,2,121,304,398,396,1,25,45,98,26,306,230,392,76,128,210,27,2972,Geography.Regions.Americas.South_America
