user_text,predicted_label,edit_count
SeroBOT,Culture.Sports,7953
AMBlanco25,Culture.Sports,7345
SeroBOT,Culture.Biography.Biography*,6793
Mr.Ibrahembot,Culture.Biography.Biography*,6061
Citation bot,Culture.Media.Media*,5141
Danyele,Culture.Sports,4525
SeroBOT,STEM.STEM*,4353
Mr.Ibrahembot,Culture.Sports,4070
SeroBOT,Culture.Media.Media*,3894
Jekiwc,Culture.Sports,3704
Luicheto,Culture.Sports,3648
Ks0108,Culture.Sports,3603
The Special Man,Culture.Sports,3468
Tomacini,Geography.Regions.Americas.South_America,3443
Island92,Culture.Sports,3423
Alex NB OT,Culture.Biography.Biography*,3404
Kismane344,Culture.Sports,3239
Alex NB OT,Culture.Media.Media*,2930
SeroBOT,Geography.Regions.Americas.South_America,2912
Luicheto,Geography.Regions.Americas.North_America,2719
Dreamerpedia,Culture.Media.Media*,2614
CHr0m4tiko0,Culture.Media.Media*,2490
Automoderador,Culture.Sports,2409
Mr.Ibrahembot,Geography.Regions.Asia.West_Asia,2375
Orczar,Culture.Media.Media*,2253
Eletro 16,Culture.Media.Media*,2189
Valdaec,History_and_Society.History,2170
RuedNL2,Culture.Biography.Biography*,2136
RStehn,Culture.Literature,2085
Krzysio.szubzda.1,Culture.Sports,2044
RuedNL2,Culture.Media.Media*,2034
InternetArchiveBot,Culture.Biography.Biography*,2031
Achmad Rachmani,Geography.Regions.Asia.West_Asia,2022
Citation bot,STEM.STEM*,1972
Alex NB OT,STEM.STEM*,1929
InternetArchiveBot,Culture.Media.Media*,1929
IgorCalzone1,Culture.Media.Media*,1927
باسم,History_and_Society.History,1899
Marco camino 10,Culture.Media.Media*,1890
EyeBot,Culture.Biography.Biography*,1868
Mr.Ibrahembot,Culture.Media.Media*,1849
LittleWhites,Culture.Sports,1805
SeroBOT,Geography.Regions.Europe.Southern_Europe,1801
Valdroby,Geography.Regions.Europe.Europe*,1742
Jacobans,Culture.Sports,1720
Eddy Wardian,Culture.Sports,1710
Stef1999,Culture.Sports,1695
N9602,Culture.Sports,1673
Skrvdmr,Culture.Sports,1667
EyeBot,Culture.Media.Media*,1654
Popsi,Culture.Sports,1633
Jamie Eilat,Culture.Media.Media*,1629
DannRodPa055,Geography.Regions.Americas.South_America,1625
Mr.Ibrahembot,History_and_Society.History,1621
CodeMars04,Culture.Sports,1612
Jamiri,Culture.Biography.Biography*,1605
Citation bot,Geography.Regions.Americas.North_America,1588
Dissident93,Culture.Sports,1553
Dipralb,Culture.Sports,1525
Citation bot,Culture.Sports,1524
Dieghenía,Culture.Sports,1517
SeroBOT,Culture.Media.Music,1516
محمد أمين الطرابلسي,Culture.Sports,1513
SeroBOT,Geography.Regions.Americas.North_America,1505
Botcrux,Culture.Media.Media*,1502
SeroBOT,Culture.Philosophy_and_religion,1484
KiranBOT,Culture.Media.Media*,1479
Masegand,Culture.Biography.Biography*,1478
Albo Andrés R,Culture.Sports,1474
Citation bot,Culture.Biography.Biography*,1436
إبراهيم الشعيبي,Culture.Sports,1435
XxAlanEZExX,Culture.Sports,1402
AURELXV3PRO,Culture.Sports,1389
Automoderador,Culture.Biography.Biography*,1387
Gabriele Sigismondi,Culture.Sports,1367
InternetArchiveBot,STEM.STEM*,1337
Alex NB OT,Geography.Regions.Europe.Europe*,1335
L'Ospite Inatteso,Culture.Media.Media*,1329
Automoderador,STEM.STEM*,1318
Ken006,Culture.Biography.Biography*,1318
The Crawler,Culture.Sports,1307
AntonAVS,Culture.Sports,1302
HurricaneEdgar,Geography.Regions.Asia.Asia*,1300
Mr.Ibrahembot,Geography.Regions.Asia.Asia*,1293
Koziarowiec,Culture.Sports,1282
Mr. Durning,Culture.Media.Media*,1276
Maxeto0910,Geography.Regions.Americas.North_America,1273
Lolloasdawqa,Culture.Sports,1235
MenoBot,Culture.Biography.Biography*,1216
Zymmo,Culture.Sports,1214
"Weiß, Ruth",Geography.Regions.Asia.Asia*,1212
Artur 10,Culture.Sports,1203
SeroBOT,Geography.Regions.Europe.Europe*,1202
InternetArchiveBot,Culture.Sports,1193
Camaron Bombay,Culture.Sports,1189
62.57.156.167,Culture.Sports,1182
Alex NB OT,Culture.Sports,1170
Alex NB OT,Geography.Regions.Asia.Asia*,1154
Plazafrank,Culture.Sports,1153
Alex NB OT,Geography.Regions.Europe.Eastern_Europe,1142
EyeBot,STEM.STEM*,1140
Dreamerpedia,Culture.Media.Films,1134
أيمن 1974,Culture.Biography.Biography*,1134
Fla888,Culture.Sports,1129
Jekiwc,Culture.Biography.Biography*,1129
Nikolay Omonov,Culture.Philosophy_and_religion,1127
M2k~dewiki,Culture.Media.Media*,1125
AdriánDíaz91,Culture.Media.Media*,1117
CarloCarpio87,Culture.Sports,1108
Alex NB OT,Geography.Regions.Asia.North_Asia,1096
Andriurson,Culture.Sports,1089
Egidio24,Culture.Media.Media*,1072
AJ Palavecino,Culture.Sports,1066
Analytics Mayet,Culture.Sports,1065
Eniisi Lisika,Geography.Regions.Asia.Asia*,1063
The YFA,Culture.Sports,1062
Flodder666,Culture.Sports,1058
PGB82,Culture.Biography.Biography*,1054
باسم,Culture.Biography.Biography*,1054
أبو العباس,Culture.Biography.Biography*,1052
CommonsDelinker,Culture.Biography.Biography*,1025
Jamie Eilat,Geography.Regions.Americas.North_America,1023
Pessimist2006,Geography.Regions.Asia.West_Asia,1021
Mr.Ibrahembot,Culture.Philosophy_and_religion,1020
Automoderador,Culture.Media.Media*,1009
FeltriaUrbsPicta,Culture.Media.Media*,1005
Pdhadam,Culture.Media.Television,999
Eduardosalg,Culture.Biography.Biography*,996
FMSky,Culture.Media.Media*,989
Michi81,Culture.Media.Media*,987
Achmad Rachmani,Geography.Regions.Asia.Asia*,986
SchlurcherBot,Culture.Biography.Biography*,984
Botcrux,Culture.Biography.Biography*,978
Leo Faffy,Culture.Media.Media*,966
Francesco Bossa,Culture.Sports,956
Mαrti,Culture.Media.Media*,950
Vsatinet,STEM.Space,933
KiranBOT,Culture.Sports,931
علاء,Culture.Biography.Biography*,931
Jmanlucas,UNKNOWN,924
Lololanda66,Culture.Sports,919
RuedNL2,Culture.Media.Television,918
France3c0,Culture.Media.Media*,917
Цветочная луна,Culture.Media.Media*,917
Razzabarese,Culture.Sports,913
Aka,Culture.Biography.Biography*,910
Valentinenba97,Culture.Sports,895
Seba982,Culture.Biography.Biography*,889
Josedm,Culture.Media.Music,887
Mr.Ibrahembot,STEM.STEM*,886
Roby A Roberto,Culture.Biography.Biography*,885
SchlurcherBot,Culture.Media.Media*,884
Balenda,Culture.Sports,881
De Wikischim,Geography.Regions.Europe.Europe*,880
Nicolauskas,Geography.Regions.Europe.Eastern_Europe,880
Stephan1000000,Culture.Media.Media*,880
Adolfobrigido,Culture.Philosophy_and_religion,875
Mr.Ibrahembot,Geography.Regions.Africa.Africa*,871
بداح,Culture.Biography.Biography*,864
Николай Эйхвальд,Culture.Media.Media*,863
Automoderador,Geography.Regions.Americas.South_America,861
Citation bot,Culture.Media.Films,850
Diego B91,Culture.Sports,844
Aka,Geography.Regions.Europe.Western_Europe,834
CommonsDelinker,Culture.Media.Media*,832
DandyBronz,Culture.Sports,831
FrescoBot,Culture.Media.Media*,827
Mr.Ibrahembot,Geography.Regions.Africa.Northern_Africa,827
YogSothoth,Culture.Sports,823
Aspiriniks,Culture.Biography.Biography*,820
TheDanStarko,History_and_Society.Transportation,816
InactiefRTM,Culture.Sports,812
Citation bot,History_and_Society.Politics_and_government,809
Skazi,Culture.Media.Media*,808
Vicpeters,Geography.Regions.Americas.Central_America,808
Lost in subtitles,Culture.Sports,805
El Savoy,Culture.Sports,801
FeltriaUrbsPicta,Culture.Media.Television,801
ArkaSoulForty9,Culture.Sports,799
Rigg,UNKNOWN,797
BOT-Superzerocool,Culture.Biography.Biography*,795
Michi81,Culture.Biography.Biography*,794
Aka,Culture.Media.Media*,791
Dreamerpedia,Culture.Biography.Biography*,786
HSV1887,Culture.Sports,786
MenoBot,Culture.Sports,786
M2k~dewiki,Culture.Biography.Biography*,785
CommonsDelinker,Culture.Sports,783
EyeBot,Geography.Regions.Asia.Asia*,783
AdriánDíaz91,Culture.Media.Television,781
EyeBot,Culture.Sports,781
Dfloresp19,Culture.Sports,780
EyeBot,Geography.Regions.Europe.Eastern_Europe,780
TheBellaTwins1445,Culture.Biography.Biography*,780
Lojwe,Geography.Regions.Europe.Southern_Europe,766
Lost in subtitles,Culture.Biography.Biography*,765
Stephan1000000,Culture.Media.Television,765
Oostpulus,Culture.Sports,764
مشاري,Culture.Biography.Biography*,764
Despechi.ro,Culture.Media.Media*,762
Ibrahim Old,Culture.Sports,761
Partynia,Culture.Sports,757
LegoFCB,Culture.Biography.Biography*,748
Pichu VI,Culture.Sports,747
LeonardoMarchetta,Culture.Sports,743
Butoro,Culture.Sports,740
Emerson1002,Geography.Regions.Americas.South_America,739
Pepoalegre,Culture.Sports,739
Osnenzo,Culture.Sports,737
Loer48,History_and_Society.History,736
LNTG,Culture.Biography.Biography*,730
Alex NB OT,Culture.Media.Films,724
Mohamad Darilin,UNKNOWN,724
EyeBot,Geography.Regions.Europe.Europe*,721
Mirmok12,Culture.Biography.Biography*,721
InternetArchiveBot,Geography.Regions.Europe.Europe*,719
Invisigoth67,Culture.Biography.Biography*,718
92.187.124.20,Culture.Sports,715
Pazio Paz,Culture.Visual_arts.Comics_and_Anime,710
Szyign,Culture.Media.Television,708
Serecki,Culture.Biography.Biography*,703
MenoBot,Geography.Regions.Asia.West_Asia,702
LNTG,Culture.Media.Media*,700
KiranBOT,Culture.Biography.Biography*,691
EyeBot,Geography.Regions.Asia.North_Asia,690
Yger,Geography.Regions.Europe.Northern_Europe,689
Danyele,Culture.Media.Media*,684
Jet Jerry,Culture.Media.Media*,683
Lililolol,Culture.Media.Media*,679
MalarzBOT,Geography.Regions.Europe.Eastern_Europe,678
Citation bot,Geography.Regions.Asia.Asia*,676
Guise,Geography.Regions.Europe.Western_Europe,675
Aroblesm,Geography.Regions.Americas.South_America,671
Pisculichi15,Culture.Sports,670
Botcrux,Geography.Regions.Europe.Southern_Europe,668
Maxeto0910,Geography.Regions.Europe.Europe*,668
Maybe75,Culture.Media.Media*,666
Книжная пыль,Geography.Regions.Asia.East_Asia,664
Futbolero,Culture.Sports,662
Zerojosefer,Geography.Regions.Americas.South_America,657
Michi81,Culture.Sports,654
Elfhelm,Culture.Biography.Biography*,653
Psychloppos,Geography.Regions.Americas.North_America,652
82.173.108.240,Culture.Sports,646
CHr0m4tiko0,Geography.Regions.Americas.South_America,645
Karim,Culture.Biography.Biography*,645
Szyign,Culture.Media.Media*,643
Aka,Geography.Regions.Europe.Europe*,642
FrescoBot,Culture.Sports,642
Mr.Karhi,Geography.Regions.Asia.West_Asia,641
Diego B91,Culture.Media.Entertainment,639
Dominikcapuan,Geography.Regions.Europe.Southern_Europe,639
Lado85,Culture.Media.Media*,635
LuisAngel01,Culture.Sports,635
Artemis Dread,UNKNOWN,631
Garrmz,Culture.Sports,629
Carlo58s,Culture.Sports,628
Retyr02,Culture.Biography.Biography*,626
AlexSchalker88,Culture.Sports,625
Mauricio C.,Culture.Sports,624
Invisigoth67,Culture.Media.Media*,623
YogSothoth,Culture.Media.Media*,623
Invisigoth67,Geography.Regions.Europe.Western_Europe,622
YGO24895,Culture.Media.Music,618
Elfhelm,Geography.Regions.Europe.Eastern_Europe,614
SeroBOT,History_and_Society.History,613
MynameisGustav,Culture.Sports,612
PedroDDB,Culture.Sports,611
Foxy5,Geography.Regions.Europe.Western_Europe,609
Alex NB OT,History_and_Society.Military_and_warfare,608
Frederico34,Culture.Media.Media*,604
VdeSergioXD,Culture.Media.Entertainment,604
Cris Moya,Culture.Sports,601
إسلام,Culture.Philosophy_and_religion,600
Pessimist2006,History_and_Society.History,598
SeroBOT,History_and_Society.Politics_and_government,598
Magnus Gallant,Culture.Sports,593
Davide King,Culture.Philosophy_and_religion,592
Samu 14980,Culture.Sports,591
Biguls83,Culture.Sports,590
Aka,STEM.STEM*,587
Davide King,Geography.Regions.Americas.North_America,586
Seba982,Culture.Sports,586
Nico.1907,Culture.Sports,585
Warry1986,Culture.Media.Media*,585
Materialscientist,Culture.Media.Media*,584
MoQabot,Culture.Biography.Biography*,583
PATATONE,Culture.Sports,582
Botcrux,Culture.Sports,581
Pawmak,Geography.Regions.Europe.Eastern_Europe,578
Rams X,Culture.Sports,578
BOT-Superzerocool,Culture.Sports,576
SeroBOT,Culture.Media.Films,573
Nosequenombreaduli,Culture.Media.Television,572
Luke Stark 96,Culture.Media.Films,571
Mirmok12,Geography.Regions.Europe.Western_Europe,570
Yoyo360,Culture.Media.Television,570
Alex NB OT,UNKNOWN,568
Invisigoth67,Geography.Regions.Europe.Europe*,567
Nikolay Omonov,Geography.Regions.Europe.Europe*,566
Danyele,Culture.Biography.Biography*,565
Dmitry V. Vinogradov,Geography.Regions.Asia.Asia*,565
Keuwatcher,History_and_Society.History,565
Egidio24,Culture.Biography.Biography*,561
Nordprinz,Culture.Sports,561
A.Nawfel,Culture.Sports,558
Müllt-Renner,Geography.Regions.Europe.Europe*,557
Roby A Roberto,Culture.Media.Media*,557
Seba982,Culture.Media.Media*,557
Amirzat,Culture.Sports,556
Clerkon,History_and_Society.History,556
Carlos yo,Culture.Sports,554
User34790,Culture.Sports,551
RadLes,Culture.Media.Media*,550
Maxeto0910,Culture.Media.Media*,549
PM3,STEM.STEM*,549
Cicignanese,Culture.Sports,547
BOT-Superzerocool,Geography.Regions.Americas.South_America,545
De Disney,Geography.Regions.Asia.North_Asia,545
FrescoBot,Culture.Biography.Biography*,543
Mannivu,Culture.Media.Media*,543
علاء,Geography.Regions.Asia.West_Asia,543
Eduardosalg,Culture.Media.Media*,541
Jayen466,Geography.Regions.Asia.West_Asia,540
Maxeto0910,Geography.Regions.Europe.Northern_Europe,540
Eniisi Lisika,Geography.Regions.Europe.Europe*,539
SilverShadow2,History_and_Society.Politics_and_government,539
Cnuddearthur,Culture.Sports,537
Casisgaal,Culture.Biography.Biography*,536
FMSky,Culture.Sports,536
Hamadinhoo,Culture.Sports,536
Sersou,History_and_Society.History,536
Botcrux,Culture.Media.Films,535
LegoFCB,Culture.Sports,533
فيصل,Culture.Sports,533
BOT-Superzerocool,Culture.Media.Media*,529
Dan watcher 32,Culture.Media.Media*,529
Alex NB OT,Culture.Philosophy_and_religion,527
~2025-26336-72,Culture.Sports,527
Книжная пыль,Culture.Media.Media*,527
Deirdre,Culture.Biography.Biography*,524
Desertdweller1983,Geography.Regions.Asia.West_Asia,524
Fgfdgfdgfdgdffdgfdgfdgcddfssdffsdfsdrgfefv,Culture.Sports,523
Citation bot,Culture.Philosophy_and_religion,522
Faustino Sojo,Geography.Regions.Americas.South_America,522
Maxeto0910,STEM.STEM*,522
Patrickpedia,Culture.Sports,522
ErikvanB,Culture.Biography.Biography*,520
Juanan412,Culture.Sports,520
Passau2021,Geography.Regions.Europe.Europe*,520
Pdhadam,Culture.Media.Media*,520
LokasBot,Culture.Biography.Biography*,517
Quinlan83,Culture.Sports,516
Alej Gatito,Geography.Regions.Americas.South_America,513
JumP!erre,Culture.Media.Media*,512
Franar8,Culture.Media.Media*,511
Achmad Rachmani,UNKNOWN,508
Michael G. Lind,Culture.Sports,508
بداح,Geography.Regions.Asia.West_Asia,508
RuedNL2,Culture.Media.Films,507
Aka,Culture.Sports,506
Maurorr10,Culture.Sports,506
SchlurcherBot,Culture.Sports,504
إسلام,Culture.Biography.Biography*,504
Radioactive39,Culture.Sports,503
FantaZЁR,Culture.Media.Media*,502
Alexander-93,History_and_Society.Transportation,501
